No,Youtuber,subscribers,video views,video count,category,started
159,DONA 도나,"28,100,000","18,421,172,559",160,Entertainment,2018
160,قناة طيور الجنة | toyoraljanahtv,"28,100,000","25,743,323,512","3,131",Entertainment,2008
161,Wow Kidz,"28,000,000","14,967,441,549","3,718",Film & Animation,2015
162,Talking Tom,"28,000,000","13,908,482,957",447,Comedy,2010
163,The Late Late Show with James Corden,"27,900,000","9,996,299,350","5,422",Entertainment,2006
164,Little Angel: Nursery Rhymes & Kids Songs,"27,700,000","20,217,178,677","1,146",Education,2015
165,GMANetwork,"27,600,000","26,290,731,375","114,067",Entertainment,2006
166,KAROL G,"27,400,000","14,040,459,862",121,Music,2013
167,TheDonato,"27,200,000","5,094,142,687","2,491",Entertainment,2015
168,Round2hell,"27,100,000","2,862,422,681",67,Comedy,2016
169,Vlad và Nikita,"27,100,000","17,117,316,552",405,,2018
170,infobells - Tamil,"26,900,000","16,492,704,526",460,Education,2014
171,MR. INDIAN HACKER,"26,800,000","4,592,841,527",812,Science & Technology,2012
172,Drake,"26,800,000","12,947,966,180",53,Music,2009
173,Zee News,"26,700,000","12,175,851,183","144,314",News & Politics,2007
174,ToypuddingTV,"26,600,000","15,570,902,183","2,579",Entertainment,2014
175,Genevieve's Playhouse - Learning Videos for Kids,"26,500,000","18,579,474,197",578,Education,2016
176,Wiz Khalifa,"26,400,000","12,528,940,373",598,Music,2008
177,Bounce Patrol - Kids Songs,"26,400,000","18,891,028,184",205,Music,2013
178,enchufetv,"26,300,000","10,022,194,205",994,Comedy,2011
179,AboFlah,"26,300,000","3,589,276,436",553,Gaming,2016
180,infobells - Telugu,"26,300,000","13,426,911,345",421,Education,2014
181,DanTDM,"26,200,000","18,809,615,646","3,603",Gaming,2012
182,Aditya Music,"26,100,000","22,661,822,099","19,992",Music,2008
183,Lucas and Marcus,"26,100,000","7,942,766,503",968,Entertainment,2011
184,WORLDSTARHIPHOP,"25,900,000","19,426,357,466","6,259",Music,2008
185,व्लाद और निकिता,"25,900,000","15,750,623,413",427,,2018
186,Michael Jackson,"25,800,000","12,588,288,710",7,Music,2005
187,toycantando,"25,800,000","13,948,216,340",496,Music,2009
188,TaylorSwiftVEVO,"25,800,000","23,276,597,783",239,Music,2009
189,VanossGaming,"25,700,000","14,907,579,962","1,581",Gaming,2011
190,LosPolinesios,"25,600,000","7,086,413,849",725,People & Blogs,2012
191,BB Ki Vines,"25,500,000","4,371,751,617",185,Entertainment,2015
192,1MILLION Dance Studio,"25,500,000","7,409,442,051","4,251",Entertainment,2015
193,Renato Garcia,"25,400,000","6,901,320,769","3,648",Entertainment,2011
194,JYP Entertainment,"25,200,000","17,152,981,455","1,502",Music,2008
195,RihannaVEVO,"25,200,000","18,089,677,017",106,Music,2009
196,Nick Jr.,"25,100,000","20,691,684,541","4,712",Film & Animation,2012
197,Smosh,"25,000,000","10,184,035,967","1,366",Comedy,2005
198,EminemVEVO,"24,900,000","18,786,748,261",98,Music,2009
199,Yuya,"24,900,000","2,583,410,213",672,Howto & Style,2009
200,Marília Mendonça,"24,900,000","16,477,333,283",114,Music,2013
201,Beyoncé,"24,900,000","15,717,379,166",234,Music,2005
202,KatyPerryVEVO,"24,800,000","22,679,485,513",171,Music,2009
203,Jess No Limit,"24,700,000","3,060,187,306","1,914",Entertainment,2017
204,Las Ratitas,"24,600,000","9,217,427,023",217,People & Blogs,2015
205,WatchMojo.com,"24,600,000","15,650,528,115","22,492",Music,2007
206,Nicki Minaj,"24,500,000","9,386,490,086",31,Music,2013
207,Super JoJo - Nursery Rhymes & Kids Songs,"24,400,000","831,718,833",61,,2019
208,Goldmines Dishoom,"24,400,000","7,143,695,444","2,844",Film & Animation,2016
209,Netflix,"24,300,000","5,678,834,326","5,650",Entertainment,2012
210,David Guetta,"24,300,000","15,959,928,823",633,Music,2009
211,Masha y el Oso,"24,300,000","11,006,209,206",840,Film & Animation,2016
212,ZHC,"24,300,000","2,224,916,696",298,Film & Animation,2013
213,Aditya Movies,"24,300,000","7,908,171,009","4,274",Movies,2012
214,1theK (원더케이),"24,200,000","22,605,283,252","16,928",Music,2011
215,Post Malone,"24,200,000","12,492,313,399",51,Music,2011
216,Amit Bhadana,"24,100,000","2,242,631,303",93,Entertainment,2012
217,Sandeep Maheshwari,"24,000,000","1,821,164,544",513,People & Blogs,2012
