No,Youtuber,subscribers,video views,video count,category,started
754,Crescendo com Luluca,"12,600,000","4,241,651,530","1,107",Entertainment,2015
755,SAAIHALILINTAR,"12,600,000","1,104,329,570",405,Entertainment,2012
756,That Little Puff,"12,600,000","10,768,365,983",542,Pets & Animals,2020
757,BIBO와 장난감,"12,600,000","2,875,252,577",152,Entertainment,2016
758,Goldmines Premiere,"12,600,000","1,629,550,071",530,Entertainment,2013
759,Veritasium,"12,600,000","1,795,358,843",336,Education,2010
760,Lady Diana,"12,600,000","7,265,803,610","1,273",Entertainment,2016
761,BBC,"12,600,000","8,830,704,358","12,973",Pets & Animals,2005
762,Health Time,"12,600,000","978,876,224","1,604",Howto & Style,2016
763,Blossom,"12,600,000","4,270,306,760",533,Howto & Style,2017
764,Ami Rodriguez,"12,600,000","1,986,603,595",358,Entertainment,2009
765,7 Minutoz,"12,600,000","3,916,931,694",511,Music,2012
766,Knowledge Tv हिन्दी,"12,500,000","1,446,664,137","1,041",People & Blogs,2014
767,Zee Bangla,"12,500,000","5,283,086,890","76,545",Entertainment,2008
768,StudyIQ IAS,"12,500,000","2,940,312,253","34,843",Education,2015
769,Lokdhun Punjabi,"12,500,000","4,372,757,487","1,399",Music,2010
770,Ja Mill,"12,500,000","1,302,818,088",567,People & Blogs,2016
771,Awakening Music,"12,500,000","4,944,109,812",709,Music,2006
772,Disney Junior,"12,500,000","11,451,399,743","3,261",Entertainment,2008
773,gymvirtual,"12,500,000","2,352,844,574","1,414",Sports,2010
774,Juliana Baltar,"12,500,000","3,211,108,711","1,431",Entertainment,2010
775,JesseAndMike,"12,500,000","9,102,860,878",630,Entertainment,2007
776,VexTrex,"12,500,000","7,198,667,373","3,133",Entertainment,2014
777,Parafernalha,"12,500,000","4,547,822,776","1,498",Entertainment,2011
778,Rebecca Zamolo,"12,500,000","4,747,533,461",856,Comedy,2011
779,DJ Khaled,"12,400,000","6,054,112,231",39,Music,2018
780,Sony Music South,"12,400,000","7,036,027,389","1,574",Music,2014
781,Ajay Sharma,"12,400,000","9,181,398,526",607,Entertainment,2012
782,Wolfoo Channel,"12,400,000","5,859,164,410","1,032",,2019
783,Melon City Show - برنامج ولاية بطيخ,"12,400,000","5,477,760,778","1,592",Comedy,2016
784,Brawl Stars,"12,400,000","1,796,220,780",130,Gaming,2017
785,LOUD,"12,400,000","2,305,594,041","1,126",Gaming,2019
786,karameeshchannel,"12,400,000","8,199,848,915","2,122",Entertainment,2012
787,People Vs Food,"12,400,000","959,616,512",384,Entertainment,2013
788,Piuzinho,"12,400,000","1,022,959,848",463,Gaming,2015
789,キッズライン♡Kids Line,"12,400,000","10,743,601,694","5,581",People & Blogs,2011
790,CaseyNeistat,"12,400,000","3,044,339,760","1,068",People & Blogs,2010
791,Meghan Trainor,"12,400,000","7,312,991,342",89,People & Blogs,2008
792,KOMPASTV,"12,400,000","9,025,460,804","225,232",News & Politics,2013
793,elliegoulding,"12,400,000","6,556,822,629",104,Music,2007
794,Jordan Matter,"12,400,000","3,368,183,197",355,Entertainment,2006
795,Kabita's Kitchen,"12,400,000","2,338,362,639","1,234",Howto & Style,2014
796,SR Toys Collection,"12,400,000","4,007,664,795",984,Entertainment,2012
797,Talking Angela,"12,400,000","3,284,897,861",204,Entertainment,2014
798,Adexe & Nau,"12,400,000","4,440,271,314",529,Music,2013
799,Peppa Pig em Português Brasil - Canal Oficial,"12,300,000","3,807,810,342","1,066",Film & Animation,2014
800,Little Baby Bum en Español,"12,300,000","6,706,548,354","1,182",Education,2014
801,Troom Troom PT,"12,300,000","4,219,567,300","2,430",Howto & Style,2015
802,JOJO TV - Hindi Stories,"12,300,000","4,679,118,911",925,Education,2016
803,Blockbuster Movies,"12,300,000","2,286,659,867",344,Entertainment,2016
804,DisneyChannelUK,"12,300,000","11,606,288,094","3,238",Music,2007
805,Gibby :),"12,300,000","2,761,291,454",203,People & Blogs,2014
806,The Dodo,"12,200,000","7,908,428,418","6,993",Pets & Animals,2014
807,Think Music India,"12,200,000","8,959,285,840","3,931",Music,2009
808,My Mate Nate,"12,200,000","2,748,616,115",981,Comedy,2014
809,Its JoJo Siwa,"12,200,000","3,817,813,233",707,Entertainment,2015
810,Troom Troom India,"12,200,000","6,308,397,105","2,070",Howto & Style,2015
811,Just For Laughs Gags,"12,200,000","7,856,644,944","6,411",Comedy,2007
812,HZHtube Kids Fun,"12,200,000","3,956,552,948",674,Entertainment,2015
813,ماشا و الدب,"12,200,000","6,201,317,137",751,Shows,2017
814,Come Play With Me,"12,200,000","14,390,156,987",367,Entertainment,2014
815,Wolfoo Family,"12,200,000","5,770,890,911","1,101",,2019
816,Mythpat,"12,200,000","2,590,550,091",322,Entertainment,2018
817,Bela Bagunça,"12,200,000","2,770,979,129",921,People & Blogs,2015
818,Future,"12,100,000","8,747,974,258",48,Music,2011
819,GMA News,"12,100,000","10,471,677,314","329,711",News & Politics,2007
820,Jass Records,"12,100,000","5,294,095,545","4,241",Music,2014
821,FIFA,"12,100,000","3,904,515,416","9,589",Sports,2006
822,Más SKabeche,"12,100,000","2,746,045,885",632,Travel & Events,2015
823,Codiscos,"12,100,000","9,823,385,812","6,967",Music,2007
824,DeGoBooM,"12,100,000","4,732,355,492","3,062",Gaming,2014
825,Davie504,"12,100,000","2,329,241,574",793,Entertainment,2011
826,Trakin Tech,"12,100,000","1,809,901,493","3,285",Science & Technology,2011
827,NDTV,"12,000,000","4,510,236,068","126,906",Entertainment,2006
828,Geo News,"12,000,000","5,358,131,096","153,929",News & Politics,2007
829,Panda,"12,000,000","2,004,584,036","1,408",,2018
830,Lana Del Rey,"12,000,000","5,676,001,571",40,Music,2011
831,RaptorGamer,"12,000,000","2,522,809,876","1,207",People & Blogs,2016
832,DaniRep | +6 Vídeos Diarios De GTA 5 Online!,"12,000,000","6,447,519,975","10,858",Gaming,2012
833,Migos ATL,"12,000,000","6,370,982,440",100,Music,2012
834,ChrisBrownVEVO,"12,000,000","12,493,403,632",290,Music,2009
835,Kylie Jenner,"12,000,000","753,341,022",148,People & Blogs,2015
836,Компот,"12,000,000","5,850,856,870","1,863",Gaming,2013
837,NORMAN FAIT DES VIDÉOS,"12,000,000","2,681,755,121",205,Comedy,2011
838,Narendra Modi,"12,000,000","2,265,382,511","17,104",News & Politics,2007
839,Troom Troom Indonesia,"11,900,000","5,012,830,809","1,568",People & Blogs,2019
840,Avril Lavigne,"11,900,000","5,636,275,144",140,Music,2005
841,KaKa Kids TV - Nursery Rhymes Kids Animated Songs,"11,900,000","4,115,401,899",310,,2013
842,Ice Cream Rolls,"11,900,000","1,469,047,858","1,528",Entertainment,2011
843,BanderitaX,"11,900,000","3,347,502,658","1,474",Gaming,2013
844,CHHOTU KI MASTI,"11,900,000","4,064,045,560",106,Comedy,2018
845,Planet Earth INDIA,"11,900,000","1,722,795,279",630,People & Blogs,2011
846,Azhan5star,"11,900,000","6,371,101,819",365,Entertainment,2021
847,The Infographics Show,"11,900,000","4,349,105,305","3,445",Education,2011
848,Sonotek Bhakti,"11,900,000","3,661,572,976","7,428",Entertainment,2010
849,Lulu99,"11,900,000","2,140,151,369",496,Entertainment,2015
850,colinfurze,"11,900,000","1,472,027,354",350,Entertainment,2006
851,Yair17,"11,900,000","1,248,384,511",962,Gaming,2014
852,Vogue,"11,900,000","3,533,048,715","2,756",Entertainment,2008
853,Yudist Ardhana,"11,900,000","3,925,624,169","2,126",Entertainment,2016
854,E-MasterSensei,"11,800,000","3,235,532,845","1,151",Gaming,2016
855,Jamuna TV,"11,800,000","9,144,058,244","84,071",News & Politics,2017
856,Technology Gyan,"11,800,000","920,996,435",924,Science & Technology,2015
857,CNCO,"11,800,000","6,881,836,992",172,Music,2015
858,Rauw Alejandro,"11,800,000","9,232,920,975",114,Music,2014
859,TsMadaan,"11,800,000","1,329,092,064","1,687",Howto & Style,2008
860,CalvinHarrisVEVO,"11,800,000","13,615,089,843",173,Music,2009
861,DANIEL EL TRAVIESO VIDEOS,"11,800,000","4,755,190,859",324,Comedy,2014
862,MORGENSHTERN,"11,800,000","2,085,751,416",131,Music,2013
863,Timba Vk,"11,800,000","2,538,254,830",890,Gaming,2012
864,Bispo Bruno Leonardo,"11,800,000","1,882,150,122","3,439",Nonprofits & Activism,2016
865,EU FICO LOKO,"11,800,000","1,190,135,430","1,605",Comedy,2010
866,MrGear,"11,800,000","3,241,537,148",766,Science & Technology,2015
867,TommyInnit,"11,800,000","1,590,238,217",289,Gaming,2015
868,Kluna Tik,"11,800,000","4,208,225,754",275,Entertainment,2014
869,MBC مصر,"11,800,000","7,784,893,932","40,608",Entertainment,2012
870,Kids TV India Hindi Nursery Rhymes,"11,800,000","5,473,328,070","1,185",Shows,2014
871,WiederDude,"11,800,000","2,190,306,341",259,,2016
872,Tfue,"11,800,000","1,461,546,183",741,Gaming,2014
873,Natti Natasha,"11,700,000","7,264,301,648",130,Music,2015
874,FFUNTV,"11,700,000","9,325,685,889",364,Gaming,2018
875,Koo Koo TV - Hindi,"11,700,000","4,265,761,191",927,Education,2017
876,Mor Haryanvi,"11,700,000","5,768,686,721",402,Music,2015
877,Netflix Jr.,"11,700,000","7,314,674,893","1,563",Education,2012
878,123 GO!,"11,700,000","4,356,636,895",377,People & Blogs,2019
879,Naz | ناز,"11,700,000","2,002,897,892",917,People & Blogs,2016
880,emma chamberlain,"11,700,000","1,531,833,342",283,Entertainment,2016
881,FrontaL Gaming,"11,700,000","255,073,454",108,Gaming,2015
882,Nat and Essie,"11,700,000","6,890,942,780",959,Film & Animation,2015
883,Rubius Z,"11,700,000","1,828,200,652",429,Comedy,2006
884,Machinima,"11,700,000",,,Film & Animation,2006
885,Luan Santana,"11,700,000","4,908,116,204",371,Music,2009
886,Wave Music Bhakti,"11,700,000","4,770,280,667","19,108",Music,2011
887,Dani Russo Tv,"11,700,000","602,060,711",280,Comedy,2014
888,SBT,"11,600,000","3,375,080,065","25,710",Comedy,2008
889,First We Feast,"11,600,000","2,485,814,338",819,Howto & Style,2014
890,Akon,"11,600,000","5,289,951,047",37,Music,2005
891,Луномосик,"11,600,000","5,052,785,110",460,People & Blogs,2015
892,Halsey,"11,600,000","4,412,088,740",51,Music,2014
893,Morgz,"11,600,000","2,723,781,007",735,Gaming,2014
894,Alan Chikin Chow,"11,600,000","11,876,297,990",508,Comedy,2020
895,eltrece,"11,600,000","11,106,097,841","149,786",Entertainment,2014
896,办公室小野 Ms Yeah,"11,600,000","3,339,092,378",351,People & Blogs,2017
897,Republic Bharat,"11,600,000","5,041,539,626","49,789",News & Politics,2019
898,Make Joke Of,"11,500,000","1,832,620,830",42,Comedy,2017
899,P!NK,"11,500,000","7,211,913,487",13,Music,2006
900,Wassabi,"11,500,000","4,592,238,139","1,119",Entertainment,2006
901,Garena Free Fire LATAM,"11,500,000","1,587,661,793","1,425",People & Blogs,2018
902,Luli Pampín,"11,500,000","6,102,648,062",225,Music,2012
903,LipaoGamer,"11,500,000","3,837,227,706","10,901",Gaming,2011
904,Hero Movies 2022,"11,500,000","1,418,615,214",329,People & Blogs,2017
905,TV9 Bharatvarsh,"11,500,000","7,314,674,032","193,940",People & Blogs,2018
906,YoungBoy Never Broke Again,"11,500,000","11,015,842,469",475,Entertainment,2015
907,Duo Tiempo De Sol,"11,500,000","5,733,616,887",278,Music,2013
908,Wild 'N Out,"11,500,000","4,418,589,089","1,267",Entertainment,2006
909,Black Eyed Peas,"11,400,000","9,492,696,997",39,Music,2007
910,웃웃TwinsFromRussia,"11,400,000","7,802,486,828","3,589",People & Blogs,2011
911,MC Divertida,"11,400,000","4,440,911,293",347,Entertainment,2018
912,MyLifeAsEva,"11,400,000","1,534,278,655",326,Comedy,2011
913,Biper y sus Amigos,"11,400,000","4,991,697,738",119,Music,2012
914,Маша та Ведмідь,"11,400,000","4,942,306,057",994,Shows,2014
915,CrazyRussianHacker,"11,400,000","3,011,607,663","1,970",Science & Technology,2012
916,infobells - Kannada,"11,400,000","5,209,512,047",353,Education,2014
917,BBC Earth,"11,400,000","4,069,124,046","2,248",Pets & Animals,2009
918,الجانب المُشرق | Bright Side Arabic,"11,400,000","1,605,101,022","5,063",Howto & Style,2018
919,ExpCaseros,"11,400,000","2,515,501,575","1,023",Howto & Style,2012
920,GoldminesAction,"11,400,000","1,069,320,125",529,Film & Animation,2015
921,YtCrash,"11,400,000","3,825,084",1,Education,2015
922,Vy Qwaint,"11,400,000","5,409,544,753",528,Howto & Style,2014
923,Annoying Orange,"11,400,000","7,893,769,128","1,861",Shows,2010
924,Jaiden Animations,"11,300,000","2,116,631,957",101,Film & Animation,2014
925,Ben Azelart,"11,300,000","2,294,003,189",236,Film & Animation,2014
926,Tiana,"11,300,000","3,176,486,598",997,Entertainment,2015
927,Lil Wayne,"11,300,000","5,335,786,775",254,Music,2013
928,Yoeslan,"11,300,000","8,789,109,127",240,Entertainment,2020
929,Yoga With Adriene,"11,300,000","1,188,547,722",649,Howto & Style,2012
930,Single Track Studio,"11,300,000","4,462,580,470","1,719",Entertainment,2010
931,Maymo,"11,300,000","4,918,241,216",486,Pets & Animals,2006
932,Free Fire India Official,"11,300,000","1,389,660,530","1,117",People & Blogs,2018
933,Ya - Alisa,"11,300,000","2,127,059,635",332,People & Blogs,2015
934,CaptainSparklez,"11,300,000","3,924,274,232","5,501",Gaming,2010
935,UnspeakableGaming,"11,300,000","4,826,278,522","2,444",Gaming,2012
936,Colors Rishtey,"11,300,000","8,954,781,989","13,423",Entertainment,2013
937,Simone e Simaria,"11,300,000","4,474,548,691",224,Music,2012
938,Star Casablanca | نجوم الدار البيضاء,"11,300,000","5,129,031,730",998,Music,2015
939,Quantum Tech HD,"11,300,000","3,594,122,308",392,Science & Technology,2015
940,elcarteldesantatv,"11,300,000","6,261,374,873",313,Music,2008
941,POCOYÓ en ESPAÑOL - Canal Oficial,"11,300,000","8,388,840,225","1,538",Film & Animation,2007
942,The Viral Fever,"11,200,000","1,656,301,737",433,Entertainment,2011
943,Pastor Antônio Júnior,"11,200,000","1,646,248,092","3,624",People & Blogs,2013
944,AlArabiya العربية,"11,200,000","5,892,643,162","129,135",People & Blogs,2006
945,DemiLovatoVEVO,"11,200,000","5,543,363,992",201,Music,2009
946,Cut,"11,200,000","4,846,700,433","1,738",Entertainment,2014
947,Lofi Girl,"11,200,000","1,311,726,533",328,Music,2015
948,Toys Make Me Smile,"11,200,000","4,562,854,224",102,Entertainment,2015
949,Magic Five,"11,200,000","1,753,589,438",405,Entertainment,2016
950,Fortnite,"11,200,000","2,123,231,155",792,Gaming,2014
951,Avocado Couple I Crazy Comics,"11,200,000","3,138,496,496",660,Film & Animation,2018
952,El Rincón De Giorgio,"11,200,000","1,543,663,972",551,Entertainment,2013
953,luzugames,"11,200,000","1,978,138,747","2,882",Gaming,2013
954,"せんももあいしーCh Sen, Momo, Ai & Shii","11,200,000","7,625,038,147","3,216",People & Blogs,2006
955,ChainsmokersVEVO,"11,200,000","11,415,809,929",231,Music,2012
956,Franco Escamilla,"11,200,000","3,344,578,049","2,053",Comedy,2007
957,CarryisLive,"11,200,000","1,371,995,657",893,Gaming,2017
958,Diana and Roma IND,"11,100,000","4,802,776,148",446,,2019
959,HellomaphieMX,"11,100,000","1,584,174,173",382,Howto & Style,2013
960,FunToys Collector Disney Toys Review,"11,100,000","15,050,447,314","2,910",Entertainment,2011
961,penguinz0,"11,100,000","5,768,785,195","3,952",Gaming,2007
962,BakLol Video,"11,100,000","3,250,851,179",257,Entertainment,2016
963,Acenix,"11,100,000","1,606,057,806",259,Gaming,2014
964,Genius,"11,100,000","2,891,052,624","2,797",Music,2011
965,Mo Vlogs,"11,100,000","2,933,099,311","1,906",People & Blogs,2013
966,Morphle TV,"11,100,000","7,586,526,902","1,126",Entertainment,2011
967,The Film Theorists,"11,100,000","2,242,892,562",355,Film & Animation,2014
968,Mrwhosetheboss,"11,100,000","1,793,692,542","1,435",Science & Technology,2011
969,Chotoonz TV - Funny Cartoons for Kids,"11,100,000","7,015,448,647","1,797",Film & Animation,2013
970,ToysPlay,"11,100,000","7,000,333,135",397,Entertainment,2015
971,MaJa Tv Moral Stories Fairy Tales,"11,100,000","4,132,213,251",449,Entertainment,2017
972,DisneyJuniorUK,"11,100,000","12,321,708,693","2,799",Entertainment,2010
973,Sky Does Everything,"11,100,000","3,823,868,578","2,101",Music,2011
974,Pari's Lifestyle,"11,100,000","6,680,703,649",356,People & Blogs,2018
975,Virgínia Fonseca,"11,100,000","1,246,793,263","1,047",People & Blogs,2016
976,bharatzkitchen HINDI,"11,100,000","1,903,304,025",626,Howto & Style,2016
977,Comedy Central,"11,100,000","6,297,139,999","5,841",Comedy,2006
978,Влад и Никита,"11,100,000","6,761,739,774",396,,2018
979,Doja Cat,"11,000,000","5,459,891,400",25,Music,2018
980,Wolfoo's stories,"11,000,000","4,227,479,765",942,,2016
981,Flamingo,"11,000,000","8,874,980,800","2,196",Gaming,2017
982,Flowers Comedy,"11,000,000","9,521,653,019","8,840",Entertainment,2015
983,Viih Tube,"11,000,000","886,497,694",505,People & Blogs,2013
984,Tyga,"11,000,000","5,211,071,220",160,Music,2009
985,Inside Edition,"11,000,000","19,367,966,533","27,156",News & Politics,2012
986,Taylor RS,"11,000,000","3,306,502,621","1,845",Gaming,2016
987,Emily Tube,"11,000,000","4,040,393,626",770,Entertainment,2014
988,unknown boy varun,"11,000,000","3,263,285,883",193,Music,2016
989,TV Shows,"11,000,000",,,,2012
990,Coisa de Nerd,"11,000,000","3,419,435,728","1,962",Gaming,2009
991,ExplosmEntertainment,"11,000,000","3,685,664,468","1,048",Comedy,2009
992,JP Plays,"10,900,000","4,609,300,218","3,528",Gaming,2014
993,OYUNCAKOYNUYORUM,"10,900,000","9,948,474,904",791,Entertainment,2016
994,Brancoala,"10,900,000","7,934,725,886","1,685",Entertainment,2008
995,핑크퐁 (인기 동요・동화),"10,900,000","6,663,450,148","2,726",Education,2014
996,TrapMusicHDTV,"10,900,000","4,070,521,973",690,Music,2013
997,Hueva,"10,900,000","3,040,301,750",831,Gaming,2012
998,OGGY,"10,900,000","5,589,104,660",920,Film & Animation,2014
999,Games EduUu,"10,900,000","3,093,784,767","1,006",Gaming,2011
1000,Dobre Brothers,"10,900,000","2,808,411,693",590,People & Blogs,2017
